scope,contrast_group,reference,method,n,error_difference,correlation_difference,d_rmse,d_rmse_lo,d_rmse_hi,d_rmse_bca_lo,d_rmse_bca_hi,d_mae,d_mae_lo,d_mae_hi,d_mae_bca_lo,d_mae_bca_hi,d_median_abs,d_median_abs_lo,d_median_abs_hi,d_median_abs_bca_lo,d_median_abs_bca_hi,d_p90_abs,d_p90_abs_lo,d_p90_abs_hi,d_p90_abs_bca_lo,d_p90_abs_bca_hi,d_pearson_r,d_pearson_r_lo,d_pearson_r_hi,d_pearson_r_bca_lo,d_pearson_r_bca_hi,d_fisher_z,d_fisher_z_lo,d_fisher_z_hi,d_fisher_z_bca_lo,d_fisher_z_bca_hi,d_spearman,d_spearman_lo,d_spearman_hi,d_spearman_bca_lo,d_spearman_bca_hi,d_spearman_z,d_spearman_z_lo,d_spearman_z_hi,d_spearman_z_bca_lo,d_spearman_z_bca_hi,wins_reference,ties
internal_node30,primary_vs_baseline,ProtMutMap,Additive,30,method-reference,reference-method,0.7759638052325759,0.11363234353785802,1.3984026103626488,0.23044398047177764,1.5488839525078342,0.4432306985375529,-0.003210284848193586,0.935089261825245,0.04008656068177028,0.994817881877613,0.2790903317623755,-0.1737083048857705,0.7014096576350995,-0.3105092334622592,0.6682153592697329,1.1525729772175666,-0.2642143159669379,3.509649938333785,-0.09235759976725144,3.57236665187042,0.3683519122499031,0.10496307735350438,0.5763005268801666,0.16047685502785286,0.6344216422565262,0.6058999707697488,0.17641149589637167,0.9712729333695704,0.24525663364118447,1.0421081862996595,0.14783261199136344,-0.01766764354266868,0.34193482027988886,-0.0005653549055556832,0.36686304708654066,0.30782902403258705,-0.037810238990403394,0.7025150664361474,0.005818800676661192,0.7636241103678748,20,0
internal_node30,primary_vs_baseline,ProtMutMap,Stepwise,30,method-reference,reference-method,0.4814816942386424,0.0669702824032837,0.9588087698284653,0.14551167234590376,1.2434432674240927,0.29535728690572904,-0.008733727716386955,0.6281064810651167,0.021480631762894133,0.6733747662645965,0.24635424415708262,-0.26489952309183795,0.6951028772103214,-0.38552459234612957,0.6398080780165591,0.3360872584904828,-0.039525395741723646,1.073641924948734,-0.03435412271901006,3.1933808374622634,0.10561119941226438,-0.030592415215605732,0.3104855085184304,-0.015762358889353345,0.3575107108785199,0.22562126021211015,-0.09346330145535323,0.5193751014762213,-0.04705260014891477,0.5847438417306469,0.10999597722617316,0.0034092205177213195,0.2569842177313206,0.016024263576806086,0.28907341709896,0.240850367942112,0.008058347300696125,0.5009346537426195,0.03831437145131902,0.5542397361777518,20,0
internal_node30,ols_sensitivity,ProtMutMap,OLS,30,method-reference,reference-method,0.09115437369437163,-0.001453968219675733,0.20141556053773074,0.014010543454644994,0.24162501739044945,0.06974369079516596,-0.006054338602267784,0.15905134634383455,0.004851249682968202,0.18047230982944246,0.027870677315632864,-0.03700531046488287,0.23364763469872651,-0.034188677935324874,0.26575004852686407,0.028230105171754172,-0.1310902410604955,0.49490726280791386,-0.13158827408728224,0.4838445338593307,0.011876876183222862,-0.021102770012527965,0.04740974041807929,-0.014769944055417636,0.058577942770192855,0.02947788624110914,-0.04981153638120367,0.12206169050354984,-0.038483360694665694,0.14482633341663334,0.01401869193585048,-0.05548983499382766,0.10032470560418662,-0.03171058788338867,0.15880073794272143,0.0359747387401006,-0.1480361970641308,0.23091943562121903,-0.08114212864211472,0.3309987001864639,5,22
internal_node30,ols_sensitivity_vs_baseline,OLS,Additive,30,method-reference,reference-method,0.6848094315382043,0.06988950107955179,1.2226883046915005,0.17999594300524005,1.350632381267771,0.37348700774238697,-0.05444381101196907,0.814219871248634,-0.031162505146191618,0.8404280496938211,0.25121965444674266,-0.30597697986217187,0.6742612767723849,-0.3806312515550224,0.6389553414596755,1.1243428720458124,-0.3080103553401967,3.2224818879262025,-0.25528357437279525,3.541604002234284,0.35647503606668024,0.11037305999081815,0.5424427073634934,0.16724921084921715,0.6006126450475188,0.5764220845286396,0.19495946706818387,0.8874145039216955,0.25949365244309514,0.9474520230402279,0.13381392005551296,-0.009804959589937991,0.30250363342143216,-0.003476052775528707,0.3108835512748051,0.27185428529248645,-0.020149418419370752,0.6110428815006488,0.00583888679006981,0.6532495128031887,20,0
internal_node30,ols_sensitivity_vs_baseline,OLS,Stepwise,30,method-reference,reference-method,0.3903273205442708,-0.0012688286883412144,0.7943241597981847,0.0787001219391049,0.9510222864731971,0.22561359611056309,-0.07606987899842017,0.5372580947135651,-0.07279515123592993,0.540528989928058,0.21848356684144976,-0.32547031842108454,0.6825660017073147,-0.46440172933130386,0.6111028745908654,0.30785715331872865,-0.10634463386536663,0.8471627762321496,-0.04537832926743701,2.693455189454925,0.09373432322904152,-0.038916416078246176,0.2945388225386493,-0.027792676801172134,0.3260024411296016,0.196143373971001,-0.11660578538298107,0.4629966271704735,-0.08575529374289237,0.5015404186012871,0.09597728529032268,-0.017403625675887904,0.23636529194418482,-0.014704020208843437,0.23956341538964748,0.2048756292020114,-0.037927678820568786,0.46568828173588445,-0.03405371529689964,0.4707896658513127,20,0
internal_unique28_mean_sensitivity,primary_vs_baseline,ProtMutMap,Additive,28,method-reference,reference-method,0.8005482922201113,0.1022591556063982,1.4446517784757973,0.22831813545336047,1.609475263278685,0.4619034366417989,-0.02996667785253319,0.9871722200380473,0.012241502745935842,1.0433213029318276,0.2585439345913444,-0.2070726683466515,0.7423560093487178,-0.397856600801838,0.6638306181480802,1.2043210287354065,-0.2258215602123052,3.4895630335762884,-0.08267527579787437,3.6007408484519163,0.37435249920145036,0.11394485360139753,0.59278228110475,0.1656819481048373,0.6582477753034585,0.6105839602893103,0.19666820094510887,0.9784086340065744,0.255541105616394,1.0510204797183749,0.15982484948002185,-0.021452145214521438,0.3761847795389887,-0.002745200114946686,0.4145433448600919,0.3236587929339836,-0.04521816690714812,0.7459309596771154,0.009230526557995425,0.8360301437724662,18,0
internal_unique28_mean_sensitivity,primary_vs_baseline,ProtMutMap,Stepwise,28,method-reference,reference-method,0.4945132409968138,0.06339817792913327,0.9989115478711996,0.1484322395358765,1.2527126702617162,0.30346763846484515,-0.013792782313344696,0.6624776196811614,0.013467472251704008,0.7018444274228672,0.242559301363641,-0.2681918451791343,0.7299703593887716,-0.44972221480745933,0.6302093357902457,0.4159839426921008,-0.027294943858485743,1.5465658061339889,0.010581737492603382,3.199616802514205,0.10753453667436197,-0.02958727444776475,0.315359539486891,-0.016060913685249575,0.35832748298860656,0.22778531133379565,-0.09045127581979122,0.5270617813880141,-0.046279844288241744,0.5943583845157941,0.11056376573617954,-0.0005497563902128466,0.26520225673751496,0.016528013004050397,0.3132934174067354,0.23850885271910371,-0.0011670669105726052,0.4975955740609238,0.04177919087828062,0.5767498165903321,18,0
internal_unique28_mean_sensitivity,ols_sensitivity,ProtMutMap,OLS,28,method-reference,reference-method,0.09465149191672184,-0.001166079161949351,0.20843522587069574,0.014641836981132722,0.24857879248942927,0.07472538299482068,-0.00636941808979774,0.16868832929453018,0.003907590073911393,0.19066636697942949,0.022764266296197877,-0.005633265059116099,0.2681405948827411,-0.034188677935324874,0.24604703639118403,0.0563019430888374,-0.10232419358146583,0.45604148671708655,-0.10249170183819323,0.44789212484079277,0.01202243713571105,-0.021735744458470634,0.04847819022319647,-0.015190951996826029,0.05898345587016268,0.029617837630954824,-0.050720947913927894,0.12538353414980022,-0.039718594263651805,0.14737706504281933,0.011494252873563204,-0.06426938315824349,0.10998150956145916,-0.03959307121253777,0.1760281051057027,0.02913201998006132,-0.1685783308745635,0.24827442343478243,-0.09848350817471942,0.3645865252692796,5,20
internal_unique28_mean_sensitivity,ols_sensitivity_vs_baseline,OLS,Additive,28,method-reference,reference-method,0.7058968003033894,0.07641427095001692,1.2715981358367208,0.1947291832477692,1.4093925747590603,0.3871780536469782,-0.06377283815846892,0.8656192618609526,-0.04333685033381562,0.895475642322361,0.23577966829514652,-0.3352019994734382,0.7030192147102352,-0.4809082999034001,0.651471071663716,1.148019085646569,-0.2993741702968753,3.296600431176621,-0.1824446391738106,3.5127813415966798,0.3623300620657393,0.12249125779949206,0.5584302083565484,0.17427357846532662,0.6232094421894357,0.5809661226583555,0.20833575384744224,0.8979682531007226,0.2705198294755288,0.9546592543336364,0.14833059660645864,-0.00498531581796919,0.3397597797175141,0.006048941435248847,0.35928473177441533,0.29452677295392227,-0.010314068640333183,0.6711496315400952,0.02513445193806115,0.7428093452320307,18,0
internal_unique28_mean_sensitivity,ols_sensitivity_vs_baseline,OLS,Stepwise,28,method-reference,reference-method,0.399861749080092,-0.006769767964084039,0.821674732118576,0.0744688013622299,0.9881437163661406,0.22874225547002447,-0.0947617230280415,0.5570413027537292,-0.0832607754890275,0.5676373613161863,0.21979503506744313,-0.385267620973785,0.7107329566976441,-0.5048080595652686,0.6460014511484724,0.3596819996032634,-0.07030268844683071,1.1867848299558728,-0.02561717366639127,2.693455189454925,0.09551209953865092,-0.04040371131832463,0.302700993382464,-0.02904787376212155,0.33184881700901775,0.19816747370284082,-0.1241991862118017,0.4740816090205652,-0.08840059746213474,0.5045741684574251,0.09906951286261634,-0.017032967032966972,0.23791208791208796,-0.006040569138802337,0.2577617252952794,0.2093768327390424,-0.03554993766559806,0.46562081153690105,-0.010860700881248646,0.48954479762872405,18,0
