scope,method,n,rmse,rmse_lo,rmse_hi,rmse_bca_lo,rmse_bca_hi,mae,mae_lo,mae_hi,mae_bca_lo,mae_bca_hi,median_abs,median_abs_lo,median_abs_hi,median_abs_bca_lo,median_abs_bca_hi,p90_abs,p90_abs_lo,p90_abs_hi,p90_abs_bca_lo,p90_abs_bca_hi,pearson_r,pearson_r_lo,pearson_r_hi,pearson_r_bca_lo,pearson_r_bca_hi,fisher_z,fisher_z_lo,fisher_z_hi,fisher_z_bca_lo,fisher_z_bca_hi,spearman,spearman_lo,spearman_hi,spearman_bca_lo,spearman_bca_hi,spearman_z,spearman_z_lo,spearman_z_hi,spearman_z_bca_lo,spearman_z_bca_hi
internal_node30,Additive,30,1.9011960807290622,1.219777007646128,2.533446232248363,1.3576055180367614,2.7342645077440095,1.367480559384193,0.9325531021649216,1.8771107827004407,0.9848960837600608,1.9720100055784953,1.0966281016790633,0.8289699701003519,1.4695761163919407,0.6789369857161187,1.413017871814078,3.0511440425883283,1.632522011944079,5.134871728149916,1.6377354516461682,5.4684051727768,0.41025111690910393,0.20925636757929958,0.6449753466677541,0.15643010916142888,0.6012150789441545,0.4359131200981186,0.2123935339828169,0.7666467219108384,0.1550613212399948,0.6933351757012371,0.640329401290897,0.40196726015506284,0.7828247042339209,0.4080902581448461,0.7858418114537201,0.7587318730511708,0.42599310697915166,1.052624728157922,0.43237189746431365,1.0597976272472458
internal_node30,Stepwise,30,1.6067139697351287,1.1200770651293441,2.143211676200154,1.2281107564999398,2.4154975630987323,1.2196071477523691,0.8704462398007105,1.6236362829454722,0.9142280669718841,1.699965087671278,1.0638920140737704,0.597714011792676,1.5118858823838124,0.36645805348500016,1.4565910831900502,2.2346583238612445,1.7830917202317336,2.8707394818230614,1.7956051337477394,5.097812456524706,0.6729918297467427,0.36602484509172684,0.8622994862611361,0.3443470394453509,0.8559371439436791,0.8161918306557572,0.38382523128569485,1.302243074889968,0.3438670770878212,1.2647889986195957,0.6781660360560873,0.42747958129329733,0.8231376118806033,0.46071256516059556,0.8349926190212976,0.8257105291416459,0.4568086195136151,1.166471149804783,0.494046204657401,1.2008520858434304
internal_node30,OLS,30,1.216386649190858,0.9549231539019641,1.4477816464646385,0.9829321176846081,1.4710699279336394,0.993993551641806,0.7485943668276991,1.2473537848963079,0.7563955198544433,1.257275558175552,0.8454084472323207,0.5278457422400785,1.2467755755731926,0.4975212882648734,1.2467755755731926,1.9268011705425159,1.7112783873486455,2.1841226484440575,1.7297304325588179,2.4043572670697815,0.7667261529757842,0.616902960407929,0.8750735976672276,0.6180777640650692,0.8758509317606997,1.0123352046267582,0.7199897610775227,1.354339204751637,0.7187079348971064,1.3526269339032373,0.77414332134641,0.5702140628589084,0.8866077355116172,0.5929257066680943,0.8956325307729078,1.0305861583436573,0.6478399854662698,1.405841236199387,0.6779509057500694,1.4436398163145518
internal_node30,ProtMutMap,30,1.1252322754964863,0.8891912880158196,1.3327368760556426,0.9065802485056007,1.3471459515396804,0.9242498608466401,0.6964909201844798,1.1557222586503115,0.7014179249360459,1.159542205337275,0.8175377699166878,0.5278457422400785,1.1394792035626111,0.49617242289138264,1.1394792035626111,1.8985710653707617,1.4152275008478272,1.9196387714973724,1.5881625181909214,2.056503143411735,0.778603029159007,0.6216217988972291,0.8838211366260396,0.6247484512476296,0.8854226221072785,1.0418130908678673,0.7276439052218033,1.3929632929155635,0.7285006385591009,1.394244916877451,0.7881620132822604,0.5972885050489845,0.89005770538856,0.620558340783421,0.8978318798722144,1.066560897083758,0.6889211871855286,1.4222035032218194,0.7207120025759334,1.4509277712761677
internal_unique28_mean_sensitivity,Additive,28,1.9613131172702591,1.2506553256869808,2.605693467054375,1.3939922110524752,2.796532093534024,1.4283884082434288,0.9686071100950723,1.9589494569977821,1.0225202181737671,2.060347908663462,1.1549332500586473,0.8454766010489103,1.5826580455616035,0.8289699701003519,1.5735419465149993,3.103642916826689,1.6707123933217871,5.208990271400334,1.6863527124280544,5.4684051727768,0.40237179694407493,0.19268818454287237,0.6410339774650134,0.131499725591559,0.6021611041976909,0.4264756981332084,0.19512751766289446,0.7599270291227208,0.13051677044845023,0.6950504578263882,0.6239737274220033,0.3713125831608642,0.7741164298169224,0.37954357099807834,0.7773466041078901,0.7314861640342363,0.38994473538878766,1.0305190521388152,0.39851621054676706,1.037404868774401
internal_unique28_mean_sensitivity,Stepwise,28,1.6552780660469617,1.152588591188979,2.2051926146867014,1.2608859938965242,2.495926838085874,1.269952610066475,0.9070459077502908,1.6905798979823552,0.9490951877890108,1.7698775261990973,1.138948616830944,0.597714011792676,1.6834343893227233,0.5667499349552929,1.6134268212552247,2.3153058307833834,1.8051181417116104,3.365644587312315,1.856513125164656,5.097812456524706,0.6691897594711633,0.36040876941940675,0.8628304768818853,0.33550006632707785,0.8536769561963758,0.809274347088723,0.37735561463654954,1.304317409145602,0.3342971645847657,1.2543179830809952,0.6732348111658456,0.40768823852706787,0.8243875584916047,0.4318681318681319,0.8330690807808798,0.8166361042491161,0.43283548554065415,1.1703600476008318,0.4576261044398711,1.194246426894255
internal_unique28_mean_sensitivity,OLS,28,1.2554163169668697,0.9889975290671572,1.489455217776575,1.0150236399153805,1.515896395636342,1.0412103545964506,0.7819846389960547,1.3030948854546904,0.7922436903050852,1.3162348709745595,0.9191535817635008,0.5908911069945413,1.4644189352520285,0.5908911069945413,1.4609102299208192,1.95562383118012,1.7112783873486455,2.2330636748053294,1.7230176697776676,2.287377798696848,0.7647018590098142,0.6131276350642209,0.8737351769189391,0.6135871708964337,0.8742639339797419,1.0074418207915639,0.7139176858616114,1.3486538381320752,0.7117291382183837,1.3454228721431274,0.7723043240284619,0.5545037796061053,0.8862638696255201,0.5828863071068803,0.8953652070101917,1.0260129369881585,0.6248614526861196,1.4042361217370802,0.6623630263507354,1.442865689169831
internal_unique28_mean_sensitivity,ProtMutMap,28,1.1607648250501479,0.9198255554339287,1.3704264663002355,0.9401956752744165,1.3882386229470722,0.9664849716016299,0.7276918959962838,1.2043729823448281,0.7356801698952394,1.213916074013477,0.8963893154673029,0.5908911069945413,1.3024156214803118,0.5595190615887744,1.2432668702419831,1.8993218880912826,1.578119065812173,1.9500530763672306,1.6402348110578824,2.056503143411735,0.7767242961455253,0.6231573145565611,0.8823618103456387,0.6209592030983379,0.8816358200420402,1.0370596584225187,0.7301503354255036,1.3863344124088213,0.7234149155111019,1.3792240281870864,0.7837985769020251,0.5825728567917248,0.8874561660288305,0.6112751888471768,0.8971281376110575,1.0551449569682199,0.6663485853833677,1.4098212387083116,0.7031578704902246,1.449845122809183
internal_edge20,Additive,20,1.9223368021096339,0.9731729374616193,2.7432757952908666,1.1025776324262755,2.9926767132413112,1.3397237482285436,0.8089141990281545,2.015091812079964,0.8863283734010643,2.1946972158126545,0.9626244932712367,0.7895256554784758,1.239549494593554,0.7500813408565996,1.2225318365949942,2.484682359012632,1.2470605921724756,5.163976516618431,1.3311224927379108,5.163976516618431,0.2433890701784425,0.03417422461835565,0.5595705577484466,-0.013651524466505187,0.49917160875972294,0.24837344673063919,0.03418753790100455,0.6322077790132784,-0.014370645222465249,0.5471600219537066,0.3481546199181179,-0.11992400508643938,0.6783965134549935,-0.1624088937803272,0.6585523049336967,0.36334230070427126,-0.12050392439977457,0.826137390922178,-0.17251717266710853,0.7862407065378962
internal_edge20,Raw_FEP,20,1.5473210030173483,0.860621229784614,2.2618493720018757,0.9802184780024943,2.762783527430504,1.1071785278702548,0.6994764657605155,1.6317124150916682,0.7703877119873523,1.8415193039487743,0.8932276096436693,0.4750190693156867,1.239549494593554,0.4096652580636615,1.1822854526255702,1.8902952696882085,1.2090111344554682,5.097812456524706,1.2470605921724756,5.097812456524706,0.31275048466006994,0.0762768773545361,0.644664133911522,-0.0691711423886332,0.5601516011383991,0.3235911999419153,0.07642532635285391,0.7661140122963317,-0.08159266107580422,0.6308572273075951,0.40601503759398494,-0.06516144678492239,0.7238292102928939,-0.1037427673461752,0.7082388510959939,0.43083038219378256,-0.06525390818254256,0.9156419547830177,-0.1094732565529566,0.8784343848424342
