condition,method,n,rmse,mae,median_abs,max_abs,spearman
forward,Additive,20,1.9223368021096339,1.3397237482285436,0.9626244932712367,5.163976516618431,0.3481546199181179
forward,Raw_FEP,20,1.5473210030173483,1.1071785278702548,0.8932276096436693,5.097812456524706,0.4060150375939849
forward,ProtMutMap,20,1.3740255131552859,1.0279382114294475,0.781458783577424,3.7241317658424373,0.4481203007518797
bidirectional,Additive,20,1.2981531303670284,1.019046109924392,0.8873664762182427,2.9434491395365208,0.3978909941921348
bidirectional,Raw_FEP,20,1.1410331723108993,0.9221749666602929,0.8454766010489103,2.8772850794427964,0.4481203007518797
bidirectional,ProtMutMap,20,0.9741170442497713,0.7856485770460382,0.6312731580617794,1.8957988394503635,0.5082706766917292
