cutoff_ps,method,n,rmse,mae,rmse_pct95_lo,rmse_pct95_hi,mae_pct95_lo,mae_pct95_hi,spearman,endpoint_ns,n_nodes,n_systems,n_forward_edges,n_reverse_edges,unique_physical_legs,total_replicas,replica_ns_elapsed,replica_ns_nominal
1000,Additive,11,1.8351452319833816,1.489226044667073,1.0492367481274845,2.4948010270898715,0.9116339043625237,2.1576264106833283,0.5545454545454546,1.0,11,5,13,5,36,1792,1612.8,1792.0
1000,Stepwise,11,1.6476071654427145,1.3398413335782888,0.988950469757581,2.2107201125777864,0.8093563086940349,1.9361976995765189,0.5181818181818182,1.0,11,5,14,6,40,2048,1843.2,2048.0
1000,ProtMutMap,11,1.0970568516797967,0.9624887362155605,0.786129848566787,1.370239302302329,0.6560761695726528,1.2730902317726775,0.6181818181818182,1.0,11,5,37,10,94,4288,3859.2000000000003,4288.0
2000,Additive,11,1.9769651851885086,1.708804578070689,1.3775562525666825,2.4901478950244202,1.129562601867954,2.3059000806158307,0.5,2.0,11,5,13,5,36,1792,3404.7999999999997,3584.0
2000,Stepwise,11,1.7116208741847583,1.3980248172852001,1.0215608188382528,2.30644071621295,0.8530783831653348,2.009146671896089,0.45454545454545453,2.0,11,5,14,6,40,2048,3891.2,4096.0
2000,ProtMutMap,11,1.3336628903957375,1.1925057005772521,1.0328198872348002,1.5965838520428217,0.8311012039963636,1.5285112016622546,0.48181818181818187,2.0,11,5,37,10,94,4288,8147.2,8576.0
4000,Additive,11,1.9363875283906224,1.6014174627448272,1.2744766132954914,2.4666324244260305,0.9742167622582669,2.254904771863434,0.4727272727272727,4.0,11,5,13,5,36,1792,6988.8,7168.0
4000,Stepwise,11,1.9168081350290413,1.487332464401868,1.065324983002663,2.6730952451993923,0.8271975349839276,2.2564219488839683,0.5181818181818182,4.0,11,5,14,6,40,2048,7987.2,8192.0
4000,ProtMutMap,11,1.385596947276084,1.2525457138413445,1.0593059298405976,1.6523578991175047,0.8958662946455289,1.5912768629767715,0.6181818181818182,4.0,11,5,37,10,94,4288,16723.2,17152.0
