leg_id,system,mode,cutoff_ps,t_start_ps,t_end_ps,production_origin_ps,production_elapsed_ns,nrep,dG_kcal,dG_err_kcal,replica_ns_elapsed,replica_ns_nominal,source_csv,source_log
7760f9236ae965ef,1AO7,partner2,1000,550.0,1000.0,100,0.9,32,-3.047043906261103,0.1026928718670999,28.8,32.0,source_data/budget/legs/7760f9236ae965ef/bar_time_series.csv,source_data/budget/legs/7760f9236ae965ef/bar1.log
7760f9236ae965ef,1AO7,partner2,2000,1050.0,2000.0,100,1.9,32,-2.931368626747809,0.1673670507171167,60.8,64.0,source_data/budget/legs/7760f9236ae965ef/bar_time_series.csv,source_data/budget/legs/7760f9236ae965ef/bar1.log
7760f9236ae965ef,1AO7,partner2,4000,2050.0,4000.0,100,3.9,32,-2.95844562661701,0.1069198130357049,124.8,128.0,source_data/budget/legs/7760f9236ae965ef/bar_time_series.csv,source_data/budget/legs/7760f9236ae965ef/bar1.log
a9033d4c3b8e6bbc,1AO7,complex,1000,550.0,1000.0,100,0.9,32,-2.245749185329523,0.2086389478896005,28.8,32.0,source_data/budget/legs/a9033d4c3b8e6bbc/bar_time_series.csv,source_data/budget/legs/a9033d4c3b8e6bbc/bar1.log
a9033d4c3b8e6bbc,1AO7,complex,2000,1050.0,2000.0,100,1.9,32,-1.6293698825303298,0.1465186368834235,60.8,64.0,source_data/budget/legs/a9033d4c3b8e6bbc/bar_time_series.csv,source_data/budget/legs/a9033d4c3b8e6bbc/bar1.log
a9033d4c3b8e6bbc,1AO7,complex,4000,2050.0,4000.0,100,3.9,32,-2.199959792967681,0.1494051612152557,124.8,128.0,source_data/budget/legs/a9033d4c3b8e6bbc/bar_time_series.csv,source_data/budget/legs/a9033d4c3b8e6bbc/bar1.log
534dcad3471c5b47,1AO7,partner2,1000,550.0,1000.0,100,0.9,32,1.3163677738076072,0.3233178560461052,28.8,32.0,source_data/budget/legs/534dcad3471c5b47/bar_time_series.csv,source_data/budget/legs/534dcad3471c5b47/bar1.log
534dcad3471c5b47,1AO7,partner2,2000,1050.0,2000.0,100,1.9,32,0.5926787771881961,0.3438293414879692,60.8,64.0,source_data/budget/legs/534dcad3471c5b47/bar_time_series.csv,source_data/budget/legs/534dcad3471c5b47/bar1.log
534dcad3471c5b47,1AO7,partner2,4000,2050.0,4000.0,100,3.9,32,-0.4995857281502506,0.1741973476218534,124.8,128.0,source_data/budget/legs/534dcad3471c5b47/bar_time_series.csv,source_data/budget/legs/534dcad3471c5b47/bar1.log
3cfba3275dba5d2e,1AO7,complex,1000,550.0,1000.0,100,0.9,64,-189.89726927635164,0.2946800468155331,57.6,64.0,source_data/budget/legs/3cfba3275dba5d2e/bar_time_series.csv,source_data/budget/legs/3cfba3275dba5d2e/bar1.log
3cfba3275dba5d2e,1AO7,complex,2000,1050.0,2000.0,100,1.9,64,-189.62120276974636,0.1472067845255782,121.6,128.0,source_data/budget/legs/3cfba3275dba5d2e/bar_time_series.csv,source_data/budget/legs/3cfba3275dba5d2e/bar1.log
3cfba3275dba5d2e,1AO7,complex,4000,2050.0,4000.0,100,3.9,64,-189.82376650331537,0.1843106746572905,249.6,256.0,source_data/budget/legs/3cfba3275dba5d2e/bar_time_series.csv,source_data/budget/legs/3cfba3275dba5d2e/bar1.log
ee89cba8a8ef28ea,1AO7,partner2,1000,550.0,1000.0,100,0.9,64,-189.96489354019624,0.1590883144666569,57.6,64.0,source_data/budget/legs/ee89cba8a8ef28ea/bar_time_series.csv,source_data/budget/legs/ee89cba8a8ef28ea/bar1.log
ee89cba8a8ef28ea,1AO7,partner2,2000,1050.0,2000.0,100,1.9,64,-190.3934059215836,0.0890865294603572,121.6,128.0,source_data/budget/legs/ee89cba8a8ef28ea/bar_time_series.csv,source_data/budget/legs/ee89cba8a8ef28ea/bar1.log
ee89cba8a8ef28ea,1AO7,partner2,4000,2050.0,4000.0,100,3.9,64,-190.78361501147276,0.110320429163963,249.6,256.0,source_data/budget/legs/ee89cba8a8ef28ea/bar_time_series.csv,source_data/budget/legs/ee89cba8a8ef28ea/bar1.log
fbc4381e90dfb74a,1AO7,complex,1000,550.0,1000.0,100,0.9,32,8.169159460970404,0.1651447663937829,28.8,32.0,source_data/budget/legs/fbc4381e90dfb74a/bar_time_series.csv,source_data/budget/legs/fbc4381e90dfb74a/bar1.log
fbc4381e90dfb74a,1AO7,complex,2000,1050.0,2000.0,100,1.9,32,8.18347797530079,0.0699385403233631,60.8,64.0,source_data/budget/legs/fbc4381e90dfb74a/bar_time_series.csv,source_data/budget/legs/fbc4381e90dfb74a/bar1.log
fbc4381e90dfb74a,1AO7,complex,4000,2050.0,4000.0,100,3.9,32,8.04516053488516,0.0930580844684708,124.8,128.0,source_data/budget/legs/fbc4381e90dfb74a/bar_time_series.csv,source_data/budget/legs/fbc4381e90dfb74a/bar1.log
